Column1,Column2,Column3,
AOQ,Average Outgoing Quality,"""AOQ"":""Average Outgoing Quality"" ",
AOQL,Average Outgoing Quality Limit (Level),"""AOQL"":""Average Outgoing Quality Limit (Level)"" ",
AP,Oracle's acronym for Accounts Payable,"""AP"":""Oracle's acronym for Accounts Payable"" ",
AP,(Oracle) Advanced Pricing ,"""AP"":""(Oracle) Advanced Pricing "" ",
AP,Associated Products,"""AP"":""Associated Products"" ",
AP,Asia Pacific,"""AP"":""Asia Pacific"" ",
APC,Air Pollution Control,"""APC"":""Air Pollution Control"" ",
APDC,Associated Product Distribution Center,"""APDC"":""Associated Product Distribution Center"" ",
API,Application Programming Interface,"""API"":""Application Programming Interface"" ",
APICS,American Production and Inventory Control Society,"""APICS"":""American Production and Inventory Control Society"" ",
APL,Acceptable Process Level,"""APL"":""Acceptable Process Level"" ",
Application Enabler,Application Enabler,"""Application Enabler"":""Application Enabler"" ",
APQP,Advanced Product Quality Planning ,"""APQP"":""Advanced Product Quality Planning "" ",
APS,Arizona Public Service,"""APS"":""Arizona Public Service"" ",
AQCR,Air Quality Control Region,"""AQCR"":""Air Quality Control Region"" ",
AQIP,Academic Quality Improvement Project,"""AQIP"":""Academic Quality Improvement Project"" ",
AQL,Acceptable Quality Level/Limit,"""AQL"":""Acceptable Quality Level/Limit"" ",
AQM,Aspect Quality Management,"""AQM"":""Aspect Quality Management"" ",
AQP,Association for Quality and Participation,"""AQP"":""Association for Quality and Participation"" ",
AR,Accounts Receivable,"""AR"":""Accounts Receivable"" ",
ARB,Avoid Reset Broadcast,"""ARB"":""Avoid Reset Broadcast"" ",
ARC,Accelerated Root Cause,"""ARC"":""Accelerated Root Cause"" ",
ARC,Analytical Resource Center,"""ARC"":""Analytical Resource Center"" ",
Architectural,Architectural,"""Architectural"":""Architectural"" ",
ARJV,Account Receivable Journal Voucher ,"""ARJV"":""Account Receivable Journal Voucher "" ",
ARL,Average Run Lengths,"""ARL"":""Average Run Lengths"" ",
ARS,Authorized Return Service,"""ARS"":""Authorized Return Service"" ",
ART,Automated Reconcile Tracking,"""ART"":""Automated Reconcile Tracking"" ",
AS,Applicability Statements,"""AS"":""Applicability Statements"" ",
AS1,Applicability Statements 1,"""AS1"":""Applicability Statements 1"" ",
AS2,Applicability Statements 2,"""AS2"":""Applicability Statements 2"" ",
AS3,Applicability Statements 3,"""AS3"":""Applicability Statements 3"" ",
ASCII,American standard code for information interchange,"""ASCII"":""American standard code for information interchange"" ",
ASCP,Advanced Supply Chain Planning,"""ASCP"":""Advanced Supply Chain Planning"" ",
ASME,American Society for Mechanical Engineers,"""ASME"":""American Society for Mechanical Engineers"" ",
ASN,Advanced Shipping Notice (EDI 856),"""ASN"":""Advanced Shipping Notice (EDI 856)"" ",
ASN,Average Sample Number,"""ASN"":""Average Sample Number"" ",
ASNT,American Society for Nondestructive Testing,"""ASNT"":""American Society for Nondestructive Testing"" ",
ASO,Aggregate Storage Option,"""ASO"":""Aggregate Storage Option"" ",
ASQ,American Society for Quality,"""ASQ"":""American Society for Quality"" ",
ASQC,American Society for Quality Control,"""ASQC"":""American Society for Quality Control"" ",
ASQE,Advanced Supplier Quality Engineering,"""ASQE"":""Advanced Supplier Quality Engineering"" ",
ASTD,American Society for Training and Development,"""ASTD"":""American Society for Training and Development"" ",
ASTM,American Society for Testing and Materials,"""ASTM"":""American Society for Testing and Materials"" ",
ATARG,Authorisation to Action Return of Goods               ,"""ATARG"":""Authorisation to Action Return of Goods               "" ",
ATI,Average Total Inspection,"""ATI"":""Average Total Inspection"" ",
ATL,Audit Team Leader,"""ATL"":""Audit Team Leader"" ",
ATP,Acceptance Test Plan,"""ATP"":""Acceptance Test Plan"" ",
AU,Asset Utilization,"""AU"":""Asset Utilization"" ",
AUTOCASH,Automated Cash,"""AUTOCASH"":""Automated Cash"" ",
AV,Appraiser Variation,"""AV"":""Appraiser Variation"" ",
AVRT,Averitt,"""AVRT"":""Averitt"" ",
AWCS,Automated Warehouse Control System / GSC's Order Shipping System,"""AWCS"":""Automated Warehouse Control System / GSC's Order Shipping System"" ",
AWMA,Air and Waste Management Association,"""AWMA"":""Air and Waste Management Association"" ",
AWQC,Ambient Water Quality Criteria,"""AWQC"":""Ambient Water Quality Criteria"" ",
AWSTC,Arthur W. Steudel Technical Center,"""AWSTC"":""Arthur W. Steudel Technical Center"" ",
AWX,Waterborne System,"""AWX"":""Waterborne System"" ",
B&H,Brigde and Highway,"""B&H"":""Brigde and Highway"" ",
B2B,Business to Business,"""B2B"":""Business to Business"" ",
B2B,Box to Box,"""B2B"":""Box to Box"" ",
B2C,Business to Customer,"""B2C"":""Business to Customer"" ",
B2E,Business to Employee,"""B2E"":""Business to Employee"" ",
BA,Business Analyst,"""BA"":""Business Analyst"" ",
BACM,Best available control measures,"""BACM"":""Best available control measures"" ",
BACT,Best Available Control Technology,"""BACT"":""Best Available Control Technology"" ",
BAI2,Bank Administration Institute,"""BAI2"":""Bank Administration Institute"" ",
BAM,Business Activity Monitoring (11.0),"""BAM"":""Business Activity Monitoring (11.0)"" ",
BAMS,Bank of America Marketing System,"""BAMS"":""Bank of America Marketing System"" ",
BASB,Billed AS / Should Be,"""BASB"":""Billed AS / Should Be"" ",
BAT,Best Available Technology,"""BAT"":""Best Available Technology"" ",
Batch Date,Batch Date,"""Batch Date"":""Batch Date"" ",
Batch Fill Lot,Batch Date,"""Batch Fill Lot"":""Batch Date"" ",
Batch Lot,Batch Lot,"""Batch Lot"":""Batch Lot"" ",
BC,Brand Code,"""BC"":""Brand Code"" ",
BCS,Bar Code Shipping,"""BCS"":""Bar Code Shipping"" ",
BE,Brand Excellence,"""BE"":""Brand Excellence"" ",
Beyond Oracle Functionality,Beyond Oracle Functionality,"""Beyond Oracle Functionality"":""Beyond Oracle Functionality"" ",
BFL,Batch Fill Lot,"""BFL"":""Batch Fill Lot"" ",
BI,Business Intelligence,"""BI"":""Business Intelligence"" ",
BIF,Boilers and Industrial Furnaces,"""BIF"":""Boilers and Industrial Furnaces"" ",
BIF,Business Improvement Forum,"""BIF"":""Business Improvement Forum"" ",
BIFMA,Business & Institutional Furniture Manufacturer's Assoc.,"""BIFMA"":""Business & Institutional Furniture Manufacturer's Assoc."" ",
Blanket Return,Blanket Return,"""Blanket Return"":""Blanket Return"" ",
Blending,Blending,"""Blending"":""Blending"" ",
BMA,Brokers Marking Analysis,"""BMA"":""Brokers Marking Analysis"" ",
BMP,Best Management Practices,"""BMP"":""Best Management Practices"" ",
BMS,Brand Management System,"""BMS"":""Brand Management System"" ",
BMS,Business Management System,"""BMS"":""Business Management System"" ",
BO,Business Objects ,"""BO"":""Business Objects "" ",
BOB,Best of Breed,"""BOB"":""Best of Breed"" ",
BOC,Batch-Out-of-Control,"""BOC"":""Batch-Out-of-Control"" ",
BOD,Budget o d,"""BOD"":""Budget o d"" ",
BOF,Beyond Oracle Functionality,"""BOF"":""Beyond Oracle Functionality"" ",
BOHV,Balance On Hand Value,"""BOHV"":""Balance On Hand Value"" ",
BOK,Body of Knowledge,"""BOK"":""Body of Knowledge"" ",
BOL,Bill of Lading,"""BOL"":""Bill of Lading"" ",
BOM,Bill of Material,"""BOM"":""Bill of Material"" ",
BP,Best Practice,"""BP"":""Best Practice"" ",
BPEL,Business Process Execution Language,"""BPEL"":""Business Process Execution Language"" ",
BPI,Business Process Improvement,"""BPI"":""Business Process Improvement"" ",
BPM,Business Process Modeling (11.0),"""BPM"":""Business Process Modeling (11.0)"" ",
BPM,Business Process Management,"""BPM"":""Business Process Management"" ",
BPM,Business Process Management,"""BPM"":""Business Process Management"" ",
BPMN,Business Process Model and Notation,"""BPMN"":""Business Process Model and Notation"" ",
BPO,Business Process Owner,"""BPO"":""Business Process Owner"" ",
BPR,Biocidal Products Regulation,"""BPR"":""Biocidal Products Regulation"" ",
BPS,Business Process Structure,"""BPS"":""Business Process Structure"" ",
BR,Basic Requirement,"""BR"":""Basic Requirement"" ",
BR,Blanket Return,"""BR"":""Blanket Return"" ",
BR100,BR100,"""BR100"":""BR100"" ",
Brand Code,Brand Code,"""Brand Code"":""Brand Code"" ",
Brand Excellence,Brand Excellence,"""Brand Excellence"":""Brand Excellence"" ",
BRC,Business Resource Centre,"""BRC"":""Business Resource Centre"" ",
BRE,The OnBase Business Rules Engine ,"""BRE"":""The OnBase Business Rules Engine "" ",
Break-through Time,Break-through Time,"""Break-through Time"":""Break-through Time"" ",
BRS,Biennial Reporting System,"""BRS"":""Biennial Reporting System"" ",
BRXS,Braun's Express,"""BRXS"":""Braun's Express"" ",
BSI,British Standards Institute,"""BSI"":""British Standards Institute"" ",
BSO,Block Storage Option,"""BSO"":""Block Storage Option"" ",
BSR,Board of Standards Review,"""BSR"":""Board of Standards Review"" ",
BTC,Breen Technology Center,"""BTC"":""Breen Technology Center"" ",
BTP ,Book to Perpetual inventory reconciliation,"""BTP "":""Book to Perpetual inventory reconciliation"" ",
BTU,British Thermal Units,"""BTU"":""British Thermal Units"" ",
Building Materials,Building Materials,"""Building Materials"":""Building Materials"" ",
Business Objects , A Querying / Reporting tool that allows a user to create customized reports using data from multiple databases such as EBR and Product Vision.,"""Business Objects "":"" A Querying / Reporting tool that allows a user to create customized reports using data from multiple databases such as EBR and Product Vision."" ",
Business Rules Engine ,The OnBase Business Rules Engine (11.0),"""Business Rules Engine "":""The OnBase Business Rules Engine (11.0)"" ",
BUSOBJ,Business Object schema for reporting,"""BUSOBJ"":""Business Object schema for reporting"" ",
Buyout,Buyout,"""Buyout"":""Buyout"" ",
BVO,Buyer Value Option,"""BVO"":""Buyer Value Option"" ",
C&E,Cause and Effect Diagram,"""C&E"":""Cause and Effect Diagram"" ",
C2C,Customer-to-Customer,"""C2C"":""Customer-to-Customer"" ",
CA,Corrective Action ,"""CA"":""Corrective Action "" ",
CAA,Clean Air Act,"""CAA"":""Clean Air Act"" ",
CAAA,Clean Air Act Amendments,"""CAAA"":""Clean Air Act Amendments"" ",
CAD,Canadian Dollars,"""CAD"":""Canadian Dollars"" ",
CAD/CAM,Computer-Aided Design/Computer-Aided Mfg,"""CAD/CAM"":""Computer-Aided Design/Computer-Aided Mfg"" ",
CAE,Computer-Aided Engineering,"""CAE"":""Computer-Aided Engineering"" ",
CAL,Client Access License ,"""CAL"":""Client Access License "" ",
Calc Manager,Business rules manager,"""Calc Manager"":""Business rules manager"" ",
CAM,Computer-Aided Mfg,"""CAM"":""Computer-Aided Mfg"" ",
CAN/MEX,Canada/Mexico,"""CAN/MEX"":""Canada/Mexico"" ",
CANICO,CANICO,"""CANICO"":""CANICO"" ",
CAPA,"Corrective Action, Preventive Action","""CAPA"":""Corrective Action, Preventive Action"" ",
CAQ,Condition Adverse to Quality,"""CAQ"":""Condition Adverse to Quality"" ",
CAQ or (S)CAQ,Significant Condition Adverse to Quality,"""CAQ or (S)CAQ"":""Significant Condition Adverse to Quality"" ",
CAR ,Corrective Action Request/report,"""CAR "":""Corrective Action Request/report"" ",
CARC,Chemical Agent Resistant Coating,"""CARC"":""Chemical Agent Resistant Coating"" ",
CARMS,Credit and Accounts Receivable Management System,"""CARMS"":""Credit and Accounts Receivable Management System"" ",
CAS,Chemical Abstract Service,"""CAS"":""Chemical Abstract Service"" ",
CASE,Computer-aided Software Engineering,"""CASE"":""Computer-aided Software Engineering"" ",
CAT,Corrective Action Team,"""CAT"":""Corrective Action Team"" ",
CBG,Consumer Brands Group,"""CBG"":""Consumer Brands Group"" ",
CBT,Computer-based Training,"""CBT"":""Computer-based Training"" ",
CBV,Carton Barcode Verifier,"""CBV"":""Carton Barcode Verifier"" ",
CC,Chemical Coatings,"""CC"":""Chemical Coatings"" ",
CC,Critical Characteristic,"""CC"":""Critical Characteristic"" ",
CCA,Contact Center Anywhere,"""CCA"":""Contact Center Anywhere"" ",
CCD,Coil Coatings Division,"""CCD"":""Coil Coatings Division"" ",
CCM,Collaborative Content Management,"""CCM"":""Collaborative Content Management"" ",
CCM,Collaborative Content Management,"""CCM"":""Collaborative Content Management"" ",
CCN,Cost Center Nucleus,"""CCN"":""Cost Center Nucleus"" ",
CCT,Certified Calibration Technician,"""CCT"":""Certified Calibration Technician"" ",
CDAT,Code Description Amount Tank,"""CDAT"":""Code Description Amount Tank"" ",
CDATS,"Code, Description, Amount Tank, Sequence","""CDATS"":""Code, Description, Amount Tank, Sequence"" ",
CDI,Customer Data Interchange,"""CDI"":""Customer Data Interchange"" ",
CDI,Customer Data,"""CDI"":""Customer Data"" ",
CDM,Centralized Delivery Management,"""CDM"":""Centralized Delivery Management"" ",
CE,Oracle's acronym for Cash Management,"""CE"":""Oracle's acronym for Cash Management"" ",
CE,Concurrent engineering,"""CE"":""Concurrent engineering"" ",
CEM,Continuous Emission Monitors,"""CEM"":""Continuous Emission Monitors"" ",
CEP,Chicago Emulsion Plant,"""CEP"":""Chicago Emulsion Plant"" ",
CERCLA,"Comprehensive ENV Response, Compensation & Liability Act","""CERCLA"":""Comprehensive ENV Response, Compensation & Liability Act"" ",
CERCLIS,CERCLA Information Service,"""CERCLIS"":""CERCLA Information Service"" ",
Certified RM,OnBase Certified Records Management (11.0) ,"""Certified RM"":""OnBase Certified Records Management (11.0) "" ",
CESQG,Conditionally Exempt Small Quantity Generator,"""CESQG"":""Conditionally Exempt Small Quantity Generator"" ",
CFATS,Chemical Facility Anti-Terrorism Standards,"""CFATS"":""Chemical Facility Anti-Terrorism Standards"" ",
CFL,Colony Forming Units,"""CFL"":""Colony Forming Units"" ",
CFM,Cubic Feet per minute,"""CFM"":""Cubic Feet per minute"" ",
CFR,Code of Federal Regulations,"""CFR"":""Code of Federal Regulations"" ",
CFS,Customer Financial Services,"""CFS"":""Customer Financial Services"" ",
CFS Credit,Customer Financial Services Credit,"""CFS Credit"":""Customer Financial Services Credit"" ",
CFS Proof,Customer Financial Services Proof,"""CFS Proof"":""Customer Financial Services Proof"" ",
CFSC,Customer Financial Services Credit,"""CFSC"":""Customer Financial Services Credit"" ",
CFSP,Customer Financial Services Proof,"""CFSP"":""Customer Financial Services Proof"" ",
CG,Consumer Group,"""CG"":""Consumer Group"" ",
CGI,Commercial Grade Item,"""CGI"":""Commercial Grade Item"" ",
CGMP,Current Good Manufacturing Practices,"""CGMP"":""Current Good Manufacturing Practices"" ",
Changeover,Changeover,"""Changeover"":""Changeover"" ",
Check 21,Check 21,"""Check 21"":""Check 21"" ",
ChemSec,Chemical Security (System),"""ChemSec"":""Chemical Security (System)"" ",
CHEMSEC,Chemical Security (System),"""CHEMSEC"":""Chemical Security (System)"" ",
CHEP,Commonwealth Handling Equipment Pooling,"""CHEP"":""Commonwealth Handling Equipment Pooling"" ",
CHESAR,Chemical Safety Assessment and Reporting tool,"""CHESAR"":""Chemical Safety Assessment and Reporting tool"" ",
CHIPS,Compliant Handling and Investigative Procedures System,"""CHIPS"":""Compliant Handling and Investigative Procedures System"" ",
CHIPs,Complaint Handling Investigation Procedures Tech Service,"""CHIPs"":""Complaint Handling Investigation Procedures Tech Service"" ",
Chrome,Chrome,"""Chrome"":""Chrome"" ",
CHUB,Commerce Hub,"""CHUB"":""Commerce Hub"" ",
CHWK,Check Weigher Kick-off,"""CHWK"":""Check Weigher Kick-off"" ",
CI,Continuous Improvement,"""CI"":""Continuous Improvement"" ",
CI,Consignment Inventory ,"""CI"":""Consignment Inventory "" ",
CI Lean,Continuous Improvement Lean,"""CI Lean"":""Continuous Improvement Lean"" ",
CIFS,Common Internet File System,"""CIFS"":""Common Internet File System"" ",
CILean,Continual Improvement Lean,"""CILean"":""Continual Improvement Lean"" ",
CILean,Continuous Improvement Project,"""CILean"":""Continuous Improvement Project"" ",
CIP,Construction in Progress,"""CIP"":""Construction in Progress"" ",
CIP,Consolidated Incentive Plan,"""CIP"":""Consolidated Incentive Plan"" ",
CIP,Company Information Sheet,"""CIP"":""Company Information Sheet"" ",
CIS,Centerline,"""CIS"":""Centerline"" ",
CL,Closed-loop corrective action,"""CL"":""Closed-loop corrective action"" ",
CLCA,Command Line Interface,"""CLCA"":""Command Line Interface"" ",
CLI,Command Line Interface,"""CLI"":""Command Line Interface"" ",
CLP,"Classification, Labeling, and Packaging","""CLP"":""Classification, Labeling, and Packaging"" ",
CLS ,Confirm Label Scanner,"""CLS "":""Confirm Label Scanner"" ",
CLSW,Corrective Maintenance,"""CLSW"":""Corrective Maintenance"" ",
CM,Content Management,"""CM"":""Content Management"" ",
CMM ,Computerized Maintenance Management System,"""CMM "":""Computerized Maintenance Management System"" ",
CMMS,Complex Maintenance Repair Operations,"""CMMS"":""Complex Maintenance Repair Operations"" ",
CMRP,Certified Material Test Report,"""CMRP"":""Certified Material Test Report"" ",
CMS,Central Management Server,"""CMS"":""Central Management Server"" ",
CMTR,Cost Center Nucleus,"""CMTR"":""Cost Center Nucleus"" ",
CNP,Chart Of Accounts,"""CNP"":""Chart Of Accounts"" ",
COA,Certificates of Analysis,"""COA"":""Certificates of Analysis"" ",
COA,Certificate Of Compliance,"""COA"":""Certificate Of Compliance"" ",
COC,Certificate of Compliance,"""COC"":""Certificate of Compliance"" ",
COD,Cash on Delivery,"""COD"":""Cash on Delivery"" ",
COD,Chemical Oxygen Demand,"""COD"":""Chemical Oxygen Demand"" ",
COD,Color On Demand,"""COD"":""Color On Demand"" ",
COD,COLD/Enterprise Requirement Management,"""COD"":""COLD/Enterprise Requirement Management"" ",
CODND,Cost of Doing Nothing Differently,"""CODND"":""Cost of Doing Nothing Differently"" ",
COI,Chemical of Interest,"""COI"":""Chemical of Interest"" ",
COLD/ERM,COLD/Enterprise Requirement Management,"""COLD/ERM"":""COLD/Enterprise Requirement Management"" ",
Collaboration,OnBase Collaboration (11.0),"""Collaboration"":""OnBase Collaboration (11.0)"" ",
Color Lab,Color Lab,"""Color Lab"":""Color Lab"" ",
Color on Demand,Color on Demand,"""Color on Demand"":""Color on Demand"" ",
COM,Continuous Mill,"""COM"":""Continuous Mill"" ",
COMAH,Control Major Accident Hazard,"""COMAH"":""Control Major Accident Hazard"" ",
Comex,Comex,"""Comex"":""Comex"" ",
ComPFP,Oracle Project Financial Planning,"""ComPFP"":""Oracle Project Financial Planning"" ",
ComWFP,Oracle Workforce Planning,"""ComWFP"":""Oracle Workforce Planning"" ",
Concur ,Online tool used to report company expenses that have been charged to your American Express Card.,"""Concur "":""Online tool used to report company expenses that have been charged to your American Express Card."" ",
Consigned,Consigned,"""Consigned"":""Consigned"" ",
Consumer Group,Consumer Group,"""Consumer Group"":""Consumer Group"" ",
Continue Sale,Continue Sale,"""Continue Sale"":""Continue Sale"" ",
Continuous Improvement,Continuous Improvement,"""Continuous Improvement"":""Continuous Improvement"" ",
Controlled Distribution,Controlled Distribution,"""Controlled Distribution"":""Controlled Distribution"" ",
Conventional Loan,Conventional Loan,"""Conventional Loan"":""Conventional Loan"" ",
COO,Communities of Practice,"""COO"":""Communities of Practice"" ",
CoP , Communities of Practice: A group of individuals with the same interest or knowledge in a subject matter that meet to discuss issues or develop new ideas and concepts in that area in order to utilize their collective knowledge and experiences. There are 1,"""CoP "":"" Communities of Practice: A group of individuals with the same interest or knowledge in a subject matter that meet to discuss issues or develop new ideas and concepts in that area in order to utilize their collective knowledge and experiences. There are 1"" ",
COP ,Cost Of Poor Quality,"""COP "":""Cost Of Poor Quality"" ",
COPQ,Cost of Poor Quality,"""COPQ"":""Cost of Poor Quality"" ",
COQ,Critical Operating Tasks,"""COQ"":""Critical Operating Tasks"" ",
CoRAP,Community Rolling Action Plan,"""CoRAP"":""Community Rolling Action Plan"" ",
Corporate Division,Corporate Division,"""Corporate Division"":""Corporate Division"" ",
Cost Center,Cost Center,"""Cost Center"":""Cost Center"" ",
Cost per gallon,Cost per gallon,"""Cost per gallon"":""Cost per gallon"" ",
Cost per hundred weight,Cost per hundred weight,"""Cost per hundred weight"":""Cost per hundred weight"" ",
Cost per mile,Cost per mile,"""Cost per mile"":""Cost per mile"" ",
Cost Pricelist,Cost Pricelist,"""Cost Pricelist"":""Cost Pricelist"" ",
COT,Collection Plan,"""COT"":""Collection Plan"" ",
COTS,C Off The Shelf,"""COTS"":""C Off The Shelf"" ",
CP,Capability ratio (statistical formulas),"""CP"":""Capability ratio (statistical formulas)"" ",
CP,Control Plan,"""CP"":""Control Plan"" ",
CP,Cycles Per Batch,"""CP"":""Cycles Per Batch"" ",
CPB,Continuing Professional Development,"""CPB"":""Continuing Professional Development"" ",
CPD,Cost Per Gallon,"""CPD"":""Cost Per Gallon"" ",
CPG,Customer Product Group,"""CPG"":""Customer Product Group"" ",
CPG,Cost Per Hundred Weight,"""CPG"":""Cost Per Hundred Weight"" ",
CPHW,Continuous Process Improvement,"""CPHW"":""Continuous Process Improvement"" ",
CPI,Competitive Product Information Utilization,"""CPI"":""Competitive Product Information Utilization"" ",
CPIU,Competitive Product Information Utilization,"""CPIU"":""Competitive Product Information Utilization"" ",
CpK,Cost Per Mile,"""CpK"":""Cost Per Mile"" ",
CPM,Customer Product Manager,"""CPM"":""Customer Product Manager"" ",
CPR,Customer Processing and Repository,"""CPR"":""Customer Processing and Repository"" ",
CPR,Complaint Process Resolution ,"""CPR"":""Complaint Process Resolution "" ",
CPR,Capital Project Update Report,"""CPR"":""Capital Project Update Report"" ",
CPUR , Capital Project Update Report,"""CPUR "":"" Capital Project Update Report"" ",
CQA,Certified Quality Manager,"""CQA"":""Certified Quality Manager"" ",
CQT,Certified Quality Technician,"""CQT"":""Certified Quality Technician"" ",
CRADLE, Creative Research And Development Laboratory Environment – An offsite location in Valley View Ohio which provides additional laboratory space for entrepreneurs who test and develop potential products of interest to SW.,"""CRADLE"":"" Creative Research And Development Laboratory Environment – An offsite location in Valley View Ohio which provides additional laboratory space for entrepreneurs who test and develop potential products of interest to SW."" ",
CRL,Central Receiving Location,"""CRL"":""Central Receiving Location"" ",
CRM,"1. Certified Records Management 

2. Customer relationship management","""CRM"":""1. Certified Records Management 

2. Customer relationship management"" ",
CRM,Certified Records Management - OnBase,"""CRM"":""Certified Records Management - OnBase"" ",
CRM,Customer Relationship Management,"""CRM"":""Customer Relationship Management"" ",
CROA,Critical Order of Addition,"""CROA"":""Critical Order of Addition"" ",
Cross Fills,Cross Fills,"""Cross Fills"":""Cross Fills"" ",
CRP,Conference Room Pilot,"""CRP"":""Conference Room Pilot"" ",
CRS,Cold Rolled Steel,"""CRS"":""Cold Rolled Steel"" ",
CS,Customer Service,"""CS"":""Customer Service"" ",
CS,Customer Satisfaction,"""CS"":""Customer Satisfaction"" ",
CSA,Chemical Safety Assessment,"""CSA"":""Chemical Safety Assessment"" ",
CSC,Customer Service Center,"""CSC"":""Customer Service Center"" ",
CSFIs,"Counterfeit, Substandard, and Fraudulent Items","""CSFIs"":""Counterfeit, Substandard, and Fraudulent Items"" ",
CSR,Chemical Safety Report,"""CSR"":""Chemical Safety Report"" ",
CSS,Customer Service Systems,"""CSS"":""Customer Service Systems"" ",
CSSBB,Certified Six Sigma Black Belt,"""CSSBB"":""Certified Six Sigma Black Belt"" ",
CSSTARS,CSSTARS,"""CSSTARS"":""CSSTARS"" ",
CTA,Call-To-Action,"""CTA"":""Call-To-Action"" ",
CTI,Computer Telephony Integration,"""CTI"":""Computer Telephony Integration"" ",
CTM ,Cleveland Technical Memorandum,"""CTM "":""Cleveland Technical Memorandum"" ",
CTMG,Central Truckload Management Group,"""CTMG"":""Central Truckload Management Group"" ",
C-TPAT,Customs-Trade Partnership Against Terrorism,"""C-TPAT"":""Customs-Trade Partnership Against Terrorism"" ",
CTQ,Critical To Quality,"""CTQ"":""Critical To Quality"" ",
CTR,Click-Thru Rate,"""CTR"":""Click-Thru Rate"" ",
CTS,Contract Transportation Systems ,"""CTS"":""Contract Transportation Systems "" ",
